C1;C5;,1.701615,99.444444,0,8,0,0,32800.000000,0.000000,10000, ,501200, ,2.000000,1.000000,0.000000
C17;C18;,2.703604,97.916667,0,30,0,0,69000.000000,0.000000,9000, ,493500, ,2.000000,4.000000,0.000000
C1;C2;,1.552420,99.027778,0,14,0,0,21300.000000,0.000000,7000, ,499100, ,2.000000,2.000000,0.000000
C17;C18;,2.013245,93.680556,0,32,59,0,72400.000000,108300.000000,46000, ,470400, ,2.000000,4.000000,2.000000
C1;C2;,1.646273,97.152778,0,16,25,0,23500.000000,28400.000000,23500, ,487550, ,2.000000,2.000000,1.000000
C1;C5;,1.472805,94.513889,0,0,79,0,0.000000,90100.000000,45000, ,473900, ,2.000000,0.000000,3.000000
C1;C2;,1.611532,98.819444,0,13,4,0,20200.000000,5300.000000,0, ,497700, ,2.000000,2.000000,0.000000
C17;C18;,2.967076,97.430556,0,12,25,0,36400.000000,36500.000000,22000, ,490700, ,2.000000,2.000000,1.000000
C1;C5;,1.562197,95.138889,0,7,63,0,13600.000000,84300.000000,42000, ,478800, ,2.000000,1.000000,2.000000
C17;C18;,2.503133,98.125000,0,27,0,0,64300.000000,0.000000,7500, ,494550, ,2.000000,4.000000,0.000000
C1;C5;,1.694137,97.500000,0,0,36,0,0.000000,29800.000000,24500, ,491050, ,2.000000,0.000000,1.000000
C1;C2;,1.307004,99.166667,0,12,0,0,19400.000000,0.000000,6000, ,499800, ,2.000000,2.000000,0.000000
C1;C2;,1.647381,97.916667,0,0,30,0,0.000000,33900.000000,12500, ,493150, ,2.000000,0.000000,1.000000
C1;C5;,1.322112,97.916667,0,0,30,0,0.000000,40200.000000,20500, ,493150, ,2.000000,0.000000,1.000000
C17;C18;,1.993824,93.194444,0,42,56,0,140600.000000,103600.000000,48000, ,469000, ,2.000000,6.000000,2.000000
C17;C18;,2.907064,98.611111,0,20,0,0,70400.000000,0.000000,4000, ,497000, ,2.000000,3.000000,0.000000
C1;C2;,1.516957,93.958333,0,0,87,0,0.000000,81500.000000,46000, ,472500, ,2.000000,0.000000,3.000000
C1;C5;,1.647035,97.152778,0,7,34,0,13600.000000,28200.000000,26000, ,489300, ,2.000000,1.000000,1.000000
C1;C5;,1.525932,95.763889,0,0,61,0,0.000000,50800.000000,37500, ,481950, ,2.000000,0.000000,2.000000
C1;C2;,1.801798,97.847222,0,0,31,0,0.000000,35000.000000,11000, ,492800, ,2.000000,0.000000,1.000000
C17;C18;,2.834614,97.777778,0,32,0,0,90400.000000,0.000000,15000, ,492800, ,2.000000,4.000000,0.000000
C17;C18;,5.130738,93.680556,0,24,55,12,62800.000000,79500.000000,44500, ,471450, ,2.000000,3.000000,2.000000
C1;C5;,3.433797,98.958333,0,15,0,0,29100.000000,0.000000,12500, ,498750, ,2.000000,2.000000,0.000000
C1;C2;,4.210152,98.125000,0,0,27,0,0.000000,30600.000000,11000, ,494200, ,2.000000,0.000000,1.000000
