Simulation Count,Average Cost,Error,Percent Error,,
199000,25559.513568,46.1169702638,0.180429765,,
200000,25506.3055,7.0910977362,0.0278013519,,
201000,25485.144279,28.2523187362,0.1108579902,,
202000,25494.357426,19.0391717362,0.0746799436,,
203000,25491.787192,21.6094057362,0.0847700696,,
204000,25510.518627,2.8779707362,0.0112815062,,
205000,25529.657561,16.2609632638,0.0636944041,,
206000,25515.753883,2.3572852638,0.0092385484,,
207000,25530.462802,17.0662042638,0.0668464352,,
208000,25534.505769,21.1091712638,0.0826691985,,
209000,25548.715311,35.3187132638,0.1382406623,,
210000,25528.550476,15.1538782638,0.059360512,,
211000,25557.301422,43.9048242638,0.1717897502,,
212000,25493.034434,20.3621637362,0.0798734407,,
213000,25558.72723,45.3306322638,0.1773587231,,
214000,25519.816355,6.4197572638,0.0251559697,,
215000,25515.450233,2.0536352638,0.008048595,,
216000,25486.243981,27.1526167362,0.1065383222,,
217000,25543.087558,29.6909602638,0.1162387288,,
218000,25498.776606,14.6199917362,0.0573360517,,
219000,25526.881735,13.4851372638,0.0528272016,,
220000,25518.474545,5.0779472638,0.0198991019,,
221000,25564.989593,51.5929952638,0.2018111334,,
222000,25501.681081,11.7155167362,0.0459401743,,
223000,25477.986547,35.4100507362,0.1389829242,,
224000,25493.660268,19.7363297362,0.0774166186,,
225000,25514.808889,1.4122912638,0.0055351826,,
226000,25494.372566,19.0240317362,0.0746205136,,
227000,25530.70837,17.3117722638,0.0678076457,,
228000,25510.332018,3.0645797362,0.0120130923,,
229000,25493.749782,19.6468157362,0.0770652254,,
230000,25503.02,10.3765977362,0.0406877214,,
231000,25485.638095,27.7585027362,0.1089182175,,
232000,25523.908621,10.5120232638,0.0411850059,,
233000,25516.302146,2.9055482638,0.0113870272,,
234000,25549.419658,36.0230602638,0.1409936537,,
235000,25475.262553,38.1340447362,0.1496904876,,
236000,25543.218644,29.8220462638,0.1167513252,,
237000,25530.512658,17.1160602638,0.0670415847,,
238000,25493.446218,19.9503797362,0.0782568962,,
239000,25489.807113,23.5894847362,0.0925447754,,
240000,25513.236667,0.1599307362,0.000626854,,
241000,25514.308714,0.9121162638,0.0035749205,,
242000,25495.123554,18.2730437362,0.0716727012,,
243000,25501.515226,11.8813717362,0.0465908462,,
244000,25497.813934,15.5826637362,0.0611137244,,
245000,25492.727347,20.6692507362,0.0810790091,,
246000,25491.668293,21.7283047362,0.0852368879,,
247000,25481.517409,31.8791887362,0.125107105,,
248000,25530.341532,16.9449342638,0.0663717492,,
249000,25540.069076,26.6724782638,0.1044338533,,
250000,25516.654,3.2574022638,0.0127657892,,
251000,25484.028287,29.3683107362,0.1152420269,,
252000,25546.43254,33.0359422638,0.1293172431,,
253000,25496.953755,16.4428427362,0.0644894402,,
254000,25515.050394,1.6537962638,0.00648165,,
255000,25532.729412,19.3328142638,0.0757177737,,
256000,25513.170313,0.2262847362,0.000886933,,
257000,25540.640078,27.2434802638,0.106667179,,
258000,25502.465116,10.9314817362,0.0428644121,,
259000,25504.90888,8.4877177362,0.0332787613,,
260000,25514.825769,1.4291712638,0.0056013366,,
261000,25519.887739,6.4911412638,0.0254356184,,
262000,25501.05458,12.3420177362,0.048398068,,
263000,25520.377567,6.9809692638,0.0273544905,,
264000,25485.648864,27.7477337362,0.1088759163,,
265000,25522.710943,9.3143452638,0.0364943414,,
266000,25493.240602,20.1559957362,0.0790640784,,
267000,25499.279775,14.1168227362,0.0553616528,,
268000,25528.526493,15.1298952638,0.0592666219,,
269000,25527.936059,14.5394612638,0.056955099,,
270000,25513.092963,0.3036347362,0.0011901134,,
271000,25493.273432,20.1231657362,0.0789351975,,
272000,25506.607353,6.7892447362,0.0266175922,,
